@relation segment

@attribute original numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
151,150.166672,45.766666,147.347824,174.964432,138.581696,381.534393,126.356461,502.177521,'class 1'
159,158.5,94.699997,153.608688,108.612648,142.215683,279.499237,126.204681,486.388611,'class 1'
162,158.333328,88.666664,154.782608,97.177864,143.111115,232.191513,125.712921,468.272552,'class 1'
157,155.666672,13.866667,152,65,141.222229,257.555542,125.010406,452.985992,'class 1'
152,150.333328,55.466667,146.391312,124.430832,137.562088,289.853027,124.225502,433.124451,'class 1'
138,137.666672,137.46666,136.739136,222.74704,133.202621,268.412628,123.531654,411.605103,'class 1'
121,125.833336,53.766666,129.521744,126.5336,129.006531,223.58548,123.366005,396.426697,'class 1'
131,129.166672,42.166668,126.91304,53.992096,125.248367,171.135284,123.79792,380.845398,'class 1'
138,130.833328,20.566668,126.173912,35.150196,121.960785,115.682663,124.257591,351.851135,'class 1'
125,124.333336,74.666664,122.521736,62.260868,119.947716,76.602509,124.573288,316.232697,'class 1'
136,137.166672,47.766666,133.478256,115.260872,124.888885,477.28363,126.749352,513.080322,'class 1'
148,143.333328,40.666668,139.782608,102.905136,131.92157,538.34906,127.44146,504.298859,'class 1'
147,147.833328,32.566666,145.869568,129.57312,139.392151,461.832031,127.547272,507.1091,'class 1'
157,157,100.400002,153.260864,138.474304,145.052292,333.9841,127.457939,506.94809,'class 1'
176,166.666672,59.066666,158.521744,74.442688,148.202621,219.610001,127.176064,496.080963,'class 1'
174,166,72,159.260864,74.01976,148.568634,174.970581,126.531654,484.454071,'class 1'
156,158.666672,60.666668,157.391312,61.612648,145.718948,234.848129,125.684303,472.259613,'class 1'
158,154.833328,18.966667,151.17392,94.78656,140.888885,294.086243,124.654816,458.656799,'class 1'
149,145.333328,160.666672,142.956528,168.952576,135.92157,300.362244,123.79705,438.726135,'class 1'
125,133,137.199997,135.652176,157.87352,131.032684,263.53183,123.500435,420.274536,'class 1'
131,130.5,27.1,131.260864,63.837944,126.45752,214.328781,123.691238,400.203186,'class 1'
132,132.666672,10.266666,127.782608,34.632412,122.248367,157.253693,123.93322,368.624878,'class 1'
130,126.333336,34.666668,124.347824,56.328064,119.928108,104.001373,124.166519,332.487885,'class 1'
131,128.333328,69.866669,127.565216,219.984192,126.627449,389.827393,127.531654,531.275269,'class 1'
141,142.166672,56.566666,139.08696,144.628464,132.065353,475.193054,128.729401,510.348602,'class 1'
150,148.5,43.5,146.739136,80.656128,138.901962,487.878479,129.397232,495.093811,'class 1'
151,151.5,45.099998,151.782608,84.268776,146.026138,369.407196,129.352127,490.540833,'class 1'
156,156.833328,53.366665,157.91304,88.44664,151.176468,221.43576,129.009537,493.455627,'class 1'
166,165.5,50.299999,162.652176,55.873516,153.372543,139.16951,128.510834,491.493164,'class 1'
170,167,46.400002,162.695648,52.312252,152.477127,143.264282,127.708588,488.892426,'class 1'
155,159.333328,45.866665,159.739136,54.110672,148.823532,225.43576,126.596703,486.249542,'class 1'
161,157.666672,13.866667,154.043472,60.04348,143.183014,325.953125,125.298355,480.78418,'class 1'
158,153.666672,45.066666,147.391312,141.33992,137.411758,356.428009,124.249786,463.97229,'class 1'
146,143.833328,158.166672,138.91304,194.083008,131.732025,320.289551,123.771896,442.582458,'class 1'
139,135.833328,81.76667,132.391312,140.976288,126.516342,271.001373,123.676498,417.038483,'class 1'
135,132.833328,21.366667,128.739136,75.01976,121.973854,207.959839,123.64267,383.637817,'class 1'
132,129.5,17.9,124.521736,61.35178,119.15686,144.554184,123.643539,344.371948,'class 1'
121,121.666664,102.26667,123.304344,188.221344,129.980392,324.808838,128.567215,535.070374,'class 1'
131,133.166672,101.366669,134.217392,274.81424,133.725494,385.792572,129.839554,521.643494,'class 1'
148,147.666672,106.26667,145.695648,180.7668,139.065353,418.600952,130.876846,490.753906,'class 1'
159,156,43.599998,153.217392,80.905136,145.522873,371.659027,131.465744,464.6987,'class 1'
162,159.666672,40.266666,156.91304,73.628456,151.901962,239.996902,131.368607,453.038483,'class 1'
164,163.666672,23.466667,161.521744,59.16996,155.679733,121.113861,130.88031,455.431854,'class 1'
165,166.833328,14.166667,165.043472,40.134388,156.411758,97.664864,130.130096,465.359802,'class 1'
172,168.166672,14.166667,164.652176,35.782608,154.77124,141.651276,128.939285,486.466797,'class 1'
163,162.666672,49.066666,161.130432,57.573124,150.54248,248.236664,127.470947,498.768463,'class 1'
162,160.333328,36.666668,156.347824,95.782608,144.346405,355.820007,125.934082,501.832458,'class 1'
160,157,99.199997,150.608688,159.612656,137.712418,398.79834,124.606247,489.862183,'class 1'
157,148.833328,142.166672,141.478256,240.169968,131.993469,362.374969,123.901131,467.273193,'class 1'
143,139.166672,166.166672,133.478256,207.351776,126.77124,311.217072,123.452728,435.432007,'class 1'
134,132,85.599998,127.869568,132.845856,122.143791,245.150238,123.156113,400.020752,'class 1'
131,128.5,26.700001,123.347824,96.328064,119.130722,176.219635,123.001732,359.586792,'class 1'
132,125.833336,116.966667,126.347824,150.691696,132.169937,277.970947,129.86731,502.292267,'class 1'
136,134.333328,81.866669,133.08696,237.17392,134.862747,326.184998,130.919342,511.874573,'class 1'
142,144,105.199997,143.869568,225.391312,139.163391,364.690216,132.012146,492.426941,'class 1'
156,155.333328,77.866669,153.17392,138.422928,144.738556,340.154877,132.873367,456.117645,'class 1'
164,162,19.6,159.043472,50.134388,150.745102,242.849075,133.274933,422.14917,'class 1'
168,165.333328,28.666666,162.08696,30.810276,155.888885,137.309937,133.113617,404.8508,'class 1'
171,167.5,11.5,164.260864,25.110672,158.470581,69.356041,132.431915,412.870575,'class 1'
171,167.666672,33.466667,166.130432,14.754941,157.941177,80.410988,131.314835,443.0336,'class 1'
172,169.333328,11.466666,165.043472,26.679842,155.490189,155.883133,129.926285,479.604797,'class 1'
169,166.166672,20.966667,161.652176,62.146244,151.019608,266.993042,128.228973,507.924957,'class 1'
167,163.833328,44.966667,157.391312,121.158104,144.496735,365.277954,126.457939,516.581787,'class 1'
167,160.666672,83.866669,151.608688,206.976288,137.915039,404.617737,124.919342,510.10199,'class 1'
158,152.666672,129.066666,142.739136,264.383392,132.215683,378.459747,123.88205,487.022522,'class 1'
144,139.833328,123.366669,133.869568,241.936752,127.169937,339.944611,123.049438,451.281403,'class 1'
134,130,92.400002,126.739128,156.74704,122.777779,272.634491,122.460541,411.321564,'class 1'
129,126.166664,70.966667,121.608696,122.976288,120.196075,196.277084,122.196007,374.756683,'class 1'
125,127.166664,70.566666,128.304352,106.40316,133.575165,265.206482,131.188202,455.422028,'class 1'
138,136.833328,63.766666,134.521744,199.079056,134.568634,274.878479,131.698181,468.558136,'class 1'
146,146,62.799999,143.695648,194.584976,137.862747,309.000763,132.672165,474.845551,'class 1'
156,154.333328,72.666664,152.391312,136.158096,142.810455,308.180939,133.484818,457.086792,'class 1'
164,162,26.799999,158.869568,60.573124,148.176468,245.369965,133.949692,429.594696,'class 1'
165,164.333328,10.666667,162.521744,16.16996,153.522873,146.974808,134.100601,404.934326,'class 1'
170,165.666672,13.066667,163.478256,15.351779,157.196075,81.171829,133.827408,391.441528,'class 1'
168,166,25.6,164.391312,19.703558,158.941177,50.384674,133.017349,400.459778,'class 1'
157,164.333328,25.466667,164.956528,24.679842,158.091507,77.202095,131.725067,437.906128,'class 1'
163,163.166672,31.766666,163.17392,33.332016,155.143784,158.74234,130.153519,484.515472,'class 1'
167,163.666672,23.466667,160.347824,49.50988,150.22876,261.796021,128.424118,519.473633,'class 1'
167,163.333328,49.066666,157.478256,83.988144,144.222229,340.226593,126.73027,526.775269,'class 1'
168,160.5,82.300003,151.521744,164.442688,137.901962,368.654785,125.047699,517.993408,'class 1'
155,150,156.399994,143.695648,223.130432,131.816986,377.887329,123.628792,492.575623,'class 1'
134,135.833328,145.766663,135.434784,171.711456,126.53595,350.842438,122.519516,453.251587,'class 1'
122,129,59.200001,127.608696,135.885376,122.516342,280.685577,121.698181,407.566803,'class 1'
131,124.833336,119.366669,121.260872,133.292496,120.915031,205.196686,121.299217,374.732452,'class 1'
126,123.666664,123.466667,126.434784,149.438736,134.830063,280.286713,132.839554,424.681702,'class 1'
134,132.333328,119.066666,132.565216,180.166,133.254898,282.506958,132.696442,428.255005,'class 1'
145,143.5,88.300003,141.347824,130.964432,134.562088,296.642487,132.972244,436.297852,'class 1'
153,153.333328,42.666668,150.347824,106.782608,138.647064,305.321991,133.517776,446.197815,'class 1'
160,160.5,36.299999,157.043472,73.770752,144.287582,253.508865,133.960098,440.224091,'class 1'
169,164.166672,9.366667,161.82608,26.786562,149.823532,177.159439,134.107544,424.641205,'class 1'
163,163.666672,8.666667,164.565216,18.529644,154.53595,97.434555,133.958374,414.666656,'class 1'
162,164.5,13.1,164.478256,18.079052,157.46405,54.0135,133.524719,412.477051,'class 1'
165,164,12.4,163.347824,20.418972,158.437912,50.774078,132.7771,421.906006,'class 1'
161,159.833328,11.766666,161.217392,24.905138,157.241837,75.22403,131.542068,453.521027,'class 1'
158,158.333328,9.466666,159.347824,26.60079,153.869278,154.351227,129.945358,496.989197,'class 1'
157,159.666672,15.866667,158.043472,29.86166,148.790848,242.94281,128.219421,528.822449,'class 1'
161,159.5,19.9,155.347824,69.418976,143.045746,302.636047,126.539459,535.189636,'class 1'
161,155.166672,92.966667,150.565216,117.620552,136.712418,345.903595,124.802254,519.295959,'class 1'
143,146.5,109.5,143.82608,144.150192,130.117645,386.275543,123.303558,487.661255,'class 1'
134,135.833328,38.566666,136.608688,112.794464,124.980392,358.743042,122.025154,448.088776,'class 1'
136,133,45.599998,128.782608,90.814232,121.267975,283.842194,120.920212,401.323486,'class 1'
139,129.5,105.099998,122,128.545456,120.352943,217.624619,120.242844,367.12674,'class 1'
112,118.833336,215.366669,123.478264,157.442688,135.437912,311.65567,134.37294,400.449341,'class 1'
139,130,259.200012,126.695656,261.675903,131.934647,312.337799,133.802261,409.162262,'class 1'
145,144.333328,95.466667,135.130432,228.118576,130.581696,329.179138,133.330444,413.136383,'class 1'
156,148.666672,37.866665,143.347824,117.782608,132.653595,361.175262,133.210754,423.73941,'class 1'
157,153.666672,20.666666,149.91304,82.992096,137.444443,352.432739,133.311356,440.367371,'class 1'
159,158,49.599998,155.956528,86.316208,143.660126,263.304779,133.349518,448.474091,'class 1'
166,164,44,160.521744,45.079052,149.196075,175.513931,133.247177,446.21402,'class 1'
162,163.333328,27.066668,162,31.90909,153.196075,111.013931,133.068512,439.808655,'class 1'
160,161.666672,27.466667,161.82608,35.695652,155.653595,75.58316,132.74762,438.381561,'class 1'
160,162.666672,6.266667,160.217392,29.996048,156.124176,69.543686,132.032959,452.22287,'class 1'
162,157.666672,17.466667,158.260864,22.928854,154.300659,99.290588,130.808319,482.262695,'class 1'
155,156.166672,21.766666,155.260864,22.110672,150.777771,180.147659,129.322632,518.032959,'class 1'
156,154.666672,4.666667,154.17392,34.150196,145.928101,255.73822,127.6791,539.511536,'class 1'
156,155.333328,11.066667,152.304352,45.403164,139.790848,324.719116,126.00087,540.370667,'class 1'
151,152.5,28.299999,148.08696,104.628456,133.725494,368.687317,124.339981,514.295776,'class 1'
149,144.5,19.1,141.347824,111.782608,127.450981,408.315002,122.826538,474.141754,'class 1'
142,139,36.799999,133.869568,101.391304,122.751633,384.056335,121.463142,426.451996,'class 1'
139,133.666672,63.466667,126.869568,135.936752,118.993462,309.796021,120.20208,381.02771,'class 1'
136,128.833328,115.76667,122.565216,147.438736,118.960785,254.06424,119.361664,352.2901,'class 1'
135,131,205.199997,127.782608,207.905136,131.450974,309.880798,134.65741,400.779236,'class 1'
147,140.666672,145.066666,132.08696,240.71936,127.869278,322.009125,133.817871,411.058807,'class 1'
156,147,60.799999,138.869568,151.391312,127.137253,354.224457,132.986984,419.356598,'class 1'
146,148.5,37.900002,141.956528,103.952568,129.92157,415.783295,132.347794,439.232239,'class 1'
147,144.833328,55.766666,145.17392,97.968376,135.163391,406.729706,132.078064,457.79425,'class 1'
145,149.333328,43.866665,148.08696,175.901184,140.973862,321.051941,131.908936,466.812012,'class 1'
155,155.666672,56.666668,154.869568,113.482216,145.928101,236.896118,131.831741,466.124451,'class 1'
157,157,11.6,157.608688,64.067192,149.46405,175.131927,131.682571,465.558868,'class 1'
155,156.833328,19.766666,157.652176,42.055336,151.477127,135.040588,131.453598,469.657776,'class 1'
163,156.5,18.299999,156.565216,49.529644,151.568634,130.115326,130.814392,486.142609,'class 1'
151,156.166672,39.766666,155.304352,30.130434,149.549026,160.578171,129.805725,506.212219,'class 1'
148,151.5,7.5,152.565216,41.256916,145.758163,235.105606,128.398956,534.950073,'class 1'
152,149.166672,33.766666,149.043472,37.498024,140.699341,320.303741,126.886383,546.833435,'class 1'
154,150,22.4,146.82608,51.877472,134.575165,397.522278,125.292282,537.378906,'class 1'
146,146.333328,32.666668,142.782608,121.996048,128.058823,460.437317,123.682564,500.312347,'class 1'
141,139.833328,49.366665,136.17392,145.877472,122.137253,474.671814,122.205551,454.883942,'class 1'
132,131.166672,86.166664,126.260872,226.383392,118.254906,422.38855,120.972244,404.924591,'class 1'
129,121,198.800003,119.173912,224.422928,115.751633,336.885284,119.692108,361.308777,'class 1'
145,137.666672,77.466667,132.782608,137.177872,127.954247,297.728149,134.058105,419.341248,'class 1'
146,144,80.800003,136.043472,158.952576,124.281044,319.729706,132.907196,430.544342,'class 1'
154,147.5,51.099998,137.434784,171.166,123.92157,355.256958,131.698181,445.394928,'class 1'
145,141.666672,64.26667,136.869568,184.118576,126.627449,420.919495,130.836075,461.980927,'class 1'
136,138,69.599998,136.521744,152.260864,131.640518,431.797546,130.281876,473.615784,'class 1'
141,139.333328,57.066666,139.695648,154.948624,136.490189,381.106812,130.032959,480.511078,'class 1'
150,147.5,36.700001,146.17392,121.968376,140.450974,329.275543,130.057236,481.501923,'class 1'
153,152.333328,10.266666,150.478256,52.35178,142.986923,315.80246,130.052902,486.182098,'class 1'
150,151.5,17.1,151.608688,56.430832,144.169937,309.299866,129.853424,496.625214,'class 1'
155,153.5,93.099998,150.91304,61.083004,143.915039,305.38089,129.311356,511.002808,'class 1'
160,152.5,37.5,149.652176,66.782608,141.745102,331.178009,128.489166,524.423706,'class 1'
149,148.333328,39.466667,146.347824,59.418972,138.666672,362.947357,127.40937,537.401733,'class 1'
142,143.833328,33.366665,142.739136,87.565216,134.026138,408.157196,126.085861,538.547302,'class 1'
144,142,51.599998,138.608688,110.794464,127.941177,472.529419,124.606247,525.115662,'class 1'
139,137.5,55.900002,134,153.909088,121.392159,515.266235,123.005203,487.286438,'class 1'
132,129.666672,84.26667,126.521736,221.988144,116.202614,477.017883,121.711189,437.894806,'class 1'
134,137.5,36.299999,135.217392,55.177864,126.241829,270.855621,132.567215,445.431458,'class 1'
145,140.833328,44.166668,136.043472,89.770752,122.673203,308.418823,131.157852,453.84137,'class 1'
148,142.333328,89.466667,135.260864,159.201584,121.941177,329.608368,129.756287,465.073364,'class 1'
133,135.333328,134.666672,131.956528,187.952576,123.823532,361.369965,128.783173,468.817535,'class 1'
135,131.5,58.700001,130.043472,124.588936,127.241829,389.381927,128.214218,467.340363,'class 1'
135,133.833328,60.966667,132.043472,108.04348,130.398697,397.583405,128.057236,471.217194,'class 1'
141,141,50.799999,137.782608,123.996048,132.562088,424.431976,128.286209,482.388489,'class 1'
149,145.333328,38.666668,141.260864,118.110672,134.039215,469.27478,128.381607,494.718842,'class 1'
144,143.166672,40.566666,142.82608,130.968384,134.862747,490.250763,128.271469,508.144135,'class 1'
136,142.166672,52.566666,143.17392,181.332016,134.490189,487.751556,127.91674,520.515625,'class 1'
143,143.833328,74.166664,141.869568,127.027664,132.882355,471.657135,127.194275,529.219177,'class 1'
144,141.833328,19.766666,138.217392,113.268776,130.522873,448.843231,126.326103,530.671326,'class 1'
137,135.5,44.299999,132.608688,168.249008,126.738564,444.681213,125.203819,521.563477,'class 1'
132,130,97.199997,127.565216,208.256912,121.418304,463.192291,123.795319,500.590027,'class 1'
126,125.666664,113.866669,122.347824,220.418976,115.522873,459.830078,122.44146,465.048859,'class 1'
134,134.666672,16.666666,134.434784,31.438736,125.993462,228.493378,130,471.789917,'class 1'
140,139,26.4,134.565216,47.438736,122.398689,271.859741,128.621857,470.202362,'class 1'
145,138.666672,47.866665,131.91304,117.44664,120.816994,290.439972,127.287941,466.104523,'class 1'
136,132,81.599998,127.391304,131.703552,121.169937,292.220947,126.393753,453.403839,'class 1'
134,129.166672,58.966667,124,103.454544,122.346405,317.951569,125.981789,443.797424,'class 1'
131,128.5,56.299999,124.869568,124.027664,123.496735,359.067413,126.059845,446.679565,'class 1'
133,131.166672,54.966667,127.521736,187.715408,123.575165,455.417023,126.450127,465.865784,'class 1'
136,132.5,143.5,128.608688,275.703552,124.490196,537.317322,126.716393,486.791901,'class 1'
135,131.333328,151.066666,127,378.272736,125.287582,560.482544,126.715523,500.132538,'class 1'
139,135,13.2,132.434784,31.438736,125.797386,167.39946,126.699913,481.231049,'class 1'
136,135.333328,14.666667,132.434784,50.711464,122.686272,204.585144,125.37294,467.699341,'class 1'
131,131.333328,76.26667,129.260864,88.928856,120.38562,234.396378,124.177795,449.767853,'class 1'
119,122.833336,74.966667,123.391304,104.521736,118.960785,233.222137,123.534256,426.813293,'class 1'
120,119,76.800003,118.217392,122.08696,118.137253,261.974457,123.556808,414.927551,'class 1'
139,133.833328,32.566666,131.260864,30.29249,127.960785,177.143188,124.363403,501.240234,'class 1'
139,136.666672,13.066667,131.91304,31.901186,124.973854,143.420364,123.050301,470.835999,'class 1'
135,134.333328,13.066667,130.478256,57.624504,122.22876,153.059174,121.790115,440.58786,'class 1'
130,126.333336,56.266666,124.95652,101.04348,119.973854,187.025635,120.794449,410.528015,'class 1'
126,122.833336,96.966667,124.391304,216.0672,127.137253,298.290253,122.883781,532.252136,'class 1'
134,132.666672,31.866667,127.695656,88.130432,124.660133,216.028473,121.160454,499.709473,'class 1'
138,134.5,21.5,130.782608,46.72332,122.764709,150.220581,119.705116,456.461578,'class 1'
136,133,40,129.08696,61.083004,121.261436,143.102249,118.402428,413.014984,'class 1'
122,122.166664,104.166664,122.91304,121.173912,119.666664,161.223679,117.677361,374.416656,'class 1'
107,110.166664,284.566681,114.652176,226.509888,121.627449,381.801086,120.316566,522.421387,'class 1'
133,123.833336,131.766663,120.869568,217.664032,120.222221,269.595032,118.47702,492.911133,'class 1'
134,133.833328,16.566668,127.130432,86.391304,119.718956,186.861282,116.885513,446.280273,'class 1'
138,132.166672,48.166668,128.260864,51.928852,119.483658,157.38295,115.555939,397.040497,'class 1'
122,124.5,61.5,122.08696,141.810272,118.15033,162.325943,114.987854,353.321045,'class 1'
116,113.166664,338.166656,113.521736,272.897247,114.803925,323.869202,116.178665,476.709381,'class 1'
133,127.166664,119.76667,120.869568,213.664032,116.013069,238.15773,114.484825,434.956573,'class 1'
138,129.666672,72.26667,124.826088,96.604744,117.091507,180.346832,113.151779,386.33371,'class 1'
115,118.333336,103.466667,119.04348,216.770752,118.666664,436,122.189072,436.551025,'class 1'
116,116.333336,185.46666,115.826088,297.059296,116.960785,384.893188,121.468346,424.139832,'class 1'
109,107.5,242.699997,107.91304,262.083008,114.137253,343.382355,120.935822,395.801422,'class 1'
137,133.166672,208.166672,130.17392,324.877472,122.209152,510.284912,121.42498,401.798401,'class 1'
143,135.5,221.5,127.782608,371.996033,121.281044,455.400757,120.868172,396.84198,'class 1'
133,125.166664,324.166656,119.08696,408.446655,118.627449,409.287933,120.497833,376.434235,'class 1'
107,110.333336,188.666672,111.04348,276.225311,115.633987,340.759888,120.191673,356.12381,'class 1'
132,131.333328,280.266663,135.565216,500.529633,126.575165,613.32489,121.101471,365.500977,'class 1'
147,147.833328,125.76667,142.91304,243.537552,128.320267,514.90332,120.74675,367.487885,'class 1'
159,149.666672,55.466667,140.91304,197.992096,127.124184,471.267365,120.412834,364.831146,'class 1'
147,140,196.399994,131.347824,321.055328,123.869278,427.377533,120.169121,354.243073,'class 1'
121,120.333336,306.666656,120.478264,315.624512,120.183006,360.479431,119.832611,342.960663,'class 1'
110,111.166664,405.366669,113.782608,576.814209,119.503265,790.396362,120.805725,332.399719,'class 1'
136,132,354.799988,131.869568,584.845825,127.54248,736.473511,120.542931,336.378571,'class 1'
144,147.833328,149.366669,146.304352,305.03952,133.111115,556.994141,120.175194,339.670654,'class 1'
157,154.5,52.299999,151.869568,90.482216,135.490189,414.014709,120.056374,342.087952,'class 1'
159,154.833328,33.766666,148.608688,95.430832,134.183014,390.887329,119.982651,340.874695,'class 1'
149,146,85.599998,138.82608,201.695648,129.967316,385.110779,119.94796,336.078888,'class 1'
133,129,189.199997,126.91304,252.17392,124.908493,340.767883,119.717262,338.779358,'class 1'
108,113,154,116.826088,174.877472,120.712418,255.074646,119.043365,348.854034,'class 1'
125,125.5,271.5,125.91304,547.264832,124.300652,786.777405,119.786644,321.457916,'class 1'
144,144.833328,154.166672,143.521744,368.5336,132.947708,664.997253,119.562881,324.539673,'class 1'
157,155.5,84.300003,155.043472,137.498016,139.196075,424.750763,119.366867,326.097046,'class 1'
162,159.666672,6.266667,156.043472,60.952568,141.352936,278.203552,119.436256,328.905884,'class 1'
159,156,47.200001,150.478256,130.351776,139.594772,276.900513,119.754555,331.97876,'class 1'
150,145.666672,103.066666,140.695648,192.312256,134.607849,316.516266,120.044235,329.198578,'class 1'
134,132,157.600006,129.478256,196.169968,128.830063,292.444611,119.876846,337.219208,'class 1'
111,116.5,165.100006,119.739128,169.837952,123.699348,221.093216,119.184738,356.124695,'class 1'
114,113.666664,186.266663,114.173912,336.332001,118.61438,657.830566,119.181267,320.141602,'class 1'
137,133.666672,183.066666,132.565216,405.984192,127.627449,733.143188,119.270599,320.900665,'class 1'
154,152.5,107.5,149.739136,226.565216,136.222229,570.21344,119.088463,320.851532,'class 1'
163,162,42.400002,158.82608,76.513832,142.333328,315.736847,119.018211,324.15506,'class 1'
163,163.166672,28.166666,158.478256,65.442688,144.267975,191.000092,119.347786,325.749603,'class 1'
161,156.833328,55.366665,151.695648,150.130432,141.934647,224.798325,119.86557,331.50708,'class 1'
149,145.5,141.899994,141.82608,172.968384,136.333328,276.921051,120.228966,328.195801,'class 1'
135,132.833328,97.366669,131.82608,158.877472,129.986923,266.131409,120.030357,337.12146,'class 1'
121,120.833336,77.76667,123.608696,131.885376,124.267975,206.750092,119.318298,361.114746,'class 1'
113,114.333336,95.466667,117.478264,101.5336,119.823532,140.356812,118.111885,377.556061,'class 1'
109,112.5,97.099998,115.04348,91.134384,115.673203,117.010925,116.605377,363.815491,'class 1'
108,110.833336,24.966667,112.739128,52.3834,111.666664,118.026314,115.392891,332.082489,'class 1'
119,117.166664,87.76667,116.173912,281.78656,120.38562,616.830566,118.863831,330.770508,'class 1'
133,135.666672,127.066666,135.956528,400.498016,128.53595,667.500366,119.069382,326.522949,'class 1'
154,155.166672,174.96666,152.17392,226.332016,136.339874,505.383728,119.040764,327.217957,'class 1'
173,166.166672,52.166668,160.434784,71.620552,141.797379,288.465271,119.130096,328.674042,'class 1'
